Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race,Senior
51,Female,1,Customer Service Manager,22,130000,China,Korean,0
33,Male,2,Business Intelligence Analyst,7,85000,Australia,Australian,0
40,Female,1,Event Coordinator,12,60000,China,White,0
47,Male,2,VP of Finance,19,200000,Australia,Asian,0
29,Female,1,Graphic Designer,3,50000,Canada,Black,0
36,Male,1,Sales Manager,9,95000,China,Korean,0
27,Female,2,UX Researcher,2,65000,Canada,White,0
43,Male,3,Engineer,17,140000,USA,Hispanic,1
30,Female,1,Social Media Manager,4,55000,Canada,White,0
35,Male,2,Product Manager,7,105000,Canada,Asian,0
51,Female,2,Director of Operations,23,170000,USA,African American,0
29,Male,1,Marketing Analyst,3,50000,China,Chinese,0
40,Female,1,HR Manager,12,80000,China,Korean,0
47,Male,3,Data Scientist,21,180000,China,White,1
26,Male,1,Accountant,1,35000,Australia,Australian,0
38,Female,2,Digital Marketing Manager,10,90000,China,Korean,0
46,Male,1,IT Manager,19,120000,Australia,Australian,0
31,Female,1,Customer Service Representative,5,45000,Canada,Asian,0
34,Male,2,Business Development Manager,8,90000,Canada,Asian,0
49,Female,2,Financial Analyst,18,150000,Canada,White,1
33,Male,1,Web Developer,6,65000,USA,Hispanic,0
39,Female,1,Recruiter,11,70000,USA,Asian,0
45,Male,3,Research Director,16,190000,UK,Mixed,0
28,Male,1,Technical Support Specialist,2,40000,China,Korean,0
42,Female,2,Creative Director,14,120000,Canada,Black,0
37,Male,1,Project Manager,10,95000,USA,Asian,0
50,Female,1,Operations Manager,22,160000,USA,White,0
32,Male,2,Software Engineer,6,100000,USA,African American,1
48,Female,2,Human Resources Director,20,180000,Canada,Black,0
30,Female,1,Content Marketing Manager,3,55000,Australia,White,0
36,Male,1,Technical Recruiter,8,70000,UK,Asian,0
41,Female,2,Data Analyst,13,80000,USA,White,0
25,Male,1,Sales Representative,0,30000,Australia,Asian,0
52,Male,3,Chief Technology Officer,24,250000,Canada,Black,0
29,Female,1,Designer,2,40000,Australia,Asian,0
34,Female,2,Financial Advisor,10,95000,UK,White,0
27,Male,1,Account Manager,2,45000,Canada,White,0
40,Female,1,HR Generalist,15,80000,USA,Hispanic,0
46,Male,2,Project Manager,21,135000,Canada,Asian,1
31,Female,1,Marketing Coordinator,6,55000,Australia,Asian,0
36,Male,3,Principal Scientist,11,120000,UK,Mixed,0
29,Female,1,Sales Associate,3,40000,China,White,0
43,Male,1,Supply Chain Manager,18,105000,UK,Welsh,0
52,Female,2,Marketing Manager,25,170000,China,Chinese,1
33,Male,1,Business Analyst,7,75000,Australia,Australian,0
39,Female,1,Training Specialist,12,65000,USA,African American,0
47,Male,3,Research Scientist,22,160000,Australia,Asian,0
26,Male,1,Software Developer,1,35000,China,White,0
38,Female,2,Public Relations Manager,10,90000,UK,Asian,0
45,Male,1,Operations Analyst,20,110000,China,Chinese,0
31,Female,1,Event Coordinator,5,45000,Australia,Asian,0
35,Male,2,Product Marketing Manager,8,95000,China,White,0
49,Female,2,HR Manager,19,150000,Australia,White,1
33,Male,1,Web Developer,5,50000,Canada,Asian,0
39,Female,2,Project Coordinator,13,80000,UK,Welsh,1
44,Male,3,Chief Data Officer,16,220000,USA,African American,0
30,Female,1,Digital Content Producer,3,50000,UK,White,0
36,Male,1,IT Support Specialist,7,60000,USA,Asian,0
41,Female,2,Marketing Analyst,14,100000,USA,White,1
28,Male,1,Customer Success Manager,2,40000,USA,Hispanic,0
42,Female,2,Graphic Designer,15,110000,USA,Asian,1
37,Male,1,Software Project Manager,9,95000,UK,White,0
50,Female,1,Supply Chain Analyst,22,130000,UK,Welsh,0
32,Male,2,Business Analyst,6,90000,USA,Asian,1
23,Female,1,Marketing Analyst,0.5,35000,USA,White,0
31,Male,2,Financial Analyst,6,95000,Australia,Asian,1
40,Female,1,Office Manager,15,65000,USA,White,0
48,Male,3,Principal Engineer,20,170000,USA,Hispanic,0
29,Female,1,HR Generalist,3,45000,Australia,Australian,0
35,Male,2,Product Manager,10,120000,Canada,White,1
42,Female,1,Sales Manager,17,100000,China,Korean,0
53,Male,2,Director of Marketing,25,180000,UK,Mixed,0
33,Female,1,Operations Analyst,5,50000,Australia,Australian,0
38,Male,1,Customer Service Manager,11,80000,China,White,0
44,Female,3,Scientist,16,140000,UK,Mixed,1
26,Male,1,Accountant,2,40000,UK,White,0
37,Female,2,HR Generalist,9,95000,USA,African American,1
45,Male,1,Sales Operations Manager,18,110000,UK,White,0
32,Female,1,Marketing Coordinator,4,50000,USA,White,0
34,Male,2,Software Developer,8,105000,Canada,White,1
50,Female,2,Director of Operations,21,160000,UK,White,0
29,Male,1,Web Designer,3,45000,China,White,0
40,Female,2,Training Specialist,12,100000,Canada,Black,1
47,Male,3,Research Scientist,22,160000,USA,Hispanic,1
27,Male,1,Sales Representative,1,35000,UK,Mixed,0
39,Female,1,Administrative Assistant,10,55000,Canada,Black,0
46,Male,2,Project Manager,19,140000,Canada,Black,1
30,Female,1,Marketing Manager,4,50000,Canada,White,0
36,Male,1,Data Analyst,7,60000,Australia,Asian,0
43,Female,2,Product Marketing Manager,14,120000,Australia,White,1
28,Male,1,Business Analyst,2,40000,USA,White,0
41,Female,2,Marketing Manager,13,110000,Australia,Australian,1
33,Male,1,Software Developer,5,50000,USA,Hispanic,0
47,Male,1,Sales Manager,20,135000,China,White,1
25,Female,2,Marketing Specialist,1.5,40000,Australia,Asian,0
34,Male,1,Business Analyst,8,90000,Australia,Asian,1
42,Female,3,Data Scientist,16,150000,China,Chinese,1
31,Male,1,Project Manager,4,60000,UK,Welsh,0
38,Female,1,Accountant,10,80000,USA,African American,1
45,Male,2,Director of Sales,19,175000,Canada,Black,0
29,Female,1,Recruiter,3,45000,Australia,Australian,0
36,Male,2,Business Development Manager,11,120000,Canada,Black,1
43,Female,3,Product Designer,18,140000,Australia,Asian,1
26,Male,1,Customer Support Specialist,2,35000,USA,Asian,0
37,Female,2,Marketing Analyst,9,95000,Canada,White,1
44,Male,1,IT Support Specialist,14,110000,USA,African American,1
32,Female,1,Financial Analyst,5,50000,USA,Asian,0
33,Male,2,Operations Manager,7,115000,China,Korean,1
51,Female,3,Director of Human Resources,23,185000,China,Chinese,0
28,Male,1,Software Engineer,2,40000,Australia,White,0
39,Female,1,Sales Representative,12,90000,USA,Asian,1
48,Male,2,Director of Product Management,21,175000,USA,Asian,0
30,Female,1,Copywriter,3,45000,UK,Mixed,0
35,Male,1,Marketing Coordinator,7,80000,China,White,1
41,Female,2,Human Resources Manager,13,120000,China,Korean,1
27,Male,1,Business Development Associate,1.5,35000,China,White,0
40,Female,1,Account Manager,14,110000,Australia,Australian,1
46,Male,3,Researcher,18,150000,Canada,Black,1
31,Female,1,HR Coordinator,4,50000,China,Korean,0
34,Male,2,Software Engineer,9,105000,China,Korean,1
50,Female,2,Director of Finance,20,180000,Australia,Australian,0
29,Male,1,Marketing Coordinator,2,40000,Canada,Asian,0
43,Male,1,Project Manager,16,140000,UK,White,1
26,Female,2,Data Scientist,1.5,45000,Canada,Asian,0
35,Male,1,Operations Analyst,7,85000,China,White,1
42,Female,3,Marketing Manager,18,140000,UK,Asian,1
31,Male,1,Accountant,4,50000,UK,Welsh,0
38,Female,1,Human Resources Coordinator,10,80000,UK,Asian,1
46,Male,2,Director of Operations,20,170000,USA,Asian,0
29,Female,1,Sales Representative,2,40000,UK,Welsh,0
37,Male,2,Business Analyst,9,105000,China,Chinese,1
44,Female,3,UX Designer,15,145000,USA,Hispanic,1
27,Male,1,Product Manager,2,40000,USA,Hispanic,0
36,Female,1,Marketing Specialist,8,85000,USA,African American,1
43,Male,1,IT Project Manager,14,130000,China,Chinese,1
33,Female,2,Financial Analyst,6,95000,Canada,White,1
34,Male,1,Quality Assurance Analyst,9,100000,UK,Mixed,1
50,Female,3,Director of Sales and Marketing,22,180000,China,Korean,0
28,Male,1,Operations Analyst,1.5,35000,UK,Welsh,0
39,Female,1,Account Executive,12,95000,USA,African American,1
47,Male,2,Director of Business Development,19,170000,Australia,Asian,0
30,Female,1,Social Media Manager,3,45000,Australia,Australian,0
34,Male,1,Product Manager,7,95000,China,Chinese,1
40,Female,2,Human Resources Specialist,13,120000,UK,Welsh,1
28,Male,1,Business Analyst,2,40000,USA,African American,0
41,Female,1,Marketing Coordinator,11,90000,Canada,Asian,1
45,Male,3,Data Analyst,17,155000,UK,Asian,1
32,Female,1,Account Manager,5,55000,Australia,Asian,0
35,Male,2,Software Developer,9,110000,Canada,Asian,1
49,Female,2,Director of Human Capital,21,180000,UK,Mixed,0
30,Male,1,Advertising Coordinator,3,45000,UK,White,0
44,Male,1,Sales Manager,16,130000,USA,Asian,1
27,Female,2,UX Designer,1.5,45000,USA,Hispanic,0
36,Male,1,Accountant,7,90000,Canada,White,1
41,Female,3,Marketing Director,17,160000,UK,Mixed,1
31,Male,1,HR Generalist,4,50000,China,Chinese,0
39,Female,1,Operations Manager,10,120000,Australia,Asian,1
47,Male,2,Director of Finance,20,170000,Australia,Australian,0
30,Female,1,Marketing Coordinator,2,40000,China,Korean,0
38,Male,2,IT Consultant,9,110000,China,White,1
45,Female,3,Product Designer,15,150000,China,Chinese,1
28,Male,1,Business Development Associate,2,40000,USA,Asian,0
35,Female,1,Marketing Analyst,8,85000,USA,White,1
44,Male,1,Software Engineer,14,130000,China,Chinese,1
34,Female,2,Financial Advisor,6,100000,UK,Welsh,1
35,Male,1,Project Coordinator,9,95000,Canada,White,1
50,Female,3,Director of Operations,22,180000,Australia,Australian,0
29,Male,1,Business Operations Analyst,1.5,35000,UK,Asian,0
40,Female,1,Sales Representative,12,100000,China,Chinese,1
48,Male,2,Director of Marketing,19,170000,USA,Hispanic,0
31,Female,1,Social Media Specialist,3,45000,UK,Welsh,0
33,Male,1,Product Development Manager,7,100000,USA,Hispanic,1
42,Female,2,Human Resources Manager,13,140000,China,White,1
28,Male,1,Financial Analyst,2,40000,Australia,Australian,0
40,Female,1,Marketing Manager,11,105000,UK,White,1
46,Male,3,Data Scientist,18,160000,Canada,White,1
33,Female,1,Operations Manager,5,70000,Australia,Asian,0
37,Male,2,Software Architect,9,120000,Australia,Australian,1
51,Female,2,Director of Human Resources,21,190000,USA,Hispanic,0
30,Male,1,Marketing Specialist,3,45000,Canada,Black,0
43,Male,1,Project Manager,15,120000,Canada,Asian,1
27,Female,2,Research Scientist,1.5,50000,China,White,0
35,Male,1,Operations Analyst,8,85000,Canada,White,1
42,Female,3,Marketing Manager,13,140000,Canada,White,1
32,Male,1,Sales Representative,3,45000,Australia,White,0
37,Female,1,Financial Analyst,9,100000,UK,Welsh,1
45,Male,2,Software Developer,16,140000,Australia,Asian,1
33,Female,1,Operations Analyst,5,70000,Canada,Asian,0
39,Male,1,Marketing Specialist,10,120000,Canada,Black,1
44,Female,3,HR Manager,18,160000,Canada,White,1
29,Male,1,Business Analyst,1.5,40000,Australia,Australian,0
38,Female,1,Product Manager,10,120000,China,Korean,1
46,Male,3,Data Analyst,19,150000,UK,Asian,1
34,Female,1,Marketing Analyst,6,70000,USA,Asian,0
36,Male,1,Operations Manager,8,95000,USA,White,1
49,Female,2,Director of Marketing,21,180000,Canada,White,0
31,Male,1,Financial Analyst,3,50000,Canada,Black,0
41,Female,1,Project Coordinator,11,95000,USA,African American,1
47,Male,2,Director of Operations,20,170000,Canada,White,0
30,Female,1,Marketing Coordinator,2,40000,USA,White,0
38,Male,2,IT Consultant,9,110000,Australia,Australian,1
45,Female,3,Product Designer,15,150000,China,Korean,1
28,Male,1,Business Development Associate,2,40000,USA,Asian,0
35,Female,1,Marketing Analyst,8,85000,Canada,White,1
44,Male,1,Software Engineer,14,130000,Australia,Australian,1
34,Female,2,Financial Advisor,6,100000,Australia,Australian,1
35,Male,1,Project Coordinator,9,95000,UK,Asian,1
50,Female,3,Director of Operations,22,180000,Australia,White,0
29,Male,1,Business Operations Analyst,1.5,350,USA,Hispanic,0
37,Female,1,Financial Manager,10,120000,USA,African American,1
46,Male,3,Data Scientist,18,160000,China,Chinese,1
31,Female,1,Marketing Coordinator,3,50000,Australia,White,0
42,Male,1,Operations Manager,12,110000,Canada,Black,1
29,Female,1,Sales Representative,1.5,40000,USA,African American,0
36,Male,1,Marketing Specialist,8,95000,UK,White,1
44,Female,2,HR Specialist,15,140000,China,Chinese,1
33,Male,1,Operations Manager,4,60000,China,Korean,0
39,Female,1,Marketing Coordinator,9,110000,China,White,1
45,Male,3,Data Engineer,16,150000,Australia,Asian,1
32,Female,1,Marketing Manager,4,60000,UK,Welsh,0
37,Male,1,Financial Analyst,8,90000,Australia,Australian,1
47,Female,2,Director of Marketing,20,180000,UK,Mixed,0
30,Male,1,Business Analyst,2,40000,Australia,Australian,0
38,Female,1,Project Manager,9,120000,UK,Asian,1
46,Male,3,Data Analyst,17,160000,UK,Asian,1
34,Female,1,Financial Analyst,5,70000,UK,Mixed,0
36,Male,1,Product Manager,8,95000,Australia,Asian,1
49,Female,2,Director of Operations,21,180000,UK,Mixed,0
31,Male,1,Operations Analyst,3,50000,USA,Hispanic,0
41,Female,1,Project Coordinator,11,95000,Canada,Black,1
47,Male,2,Director of Marketing,19,170000,Canada,White,0
29,Female,1,Business Development Associate,1.5,35000,Australia,White,0
35,Male,1,Financial Manager,9,100000,Canada,White,1
44,Female,3,Product Designer,15,150000,China,White,1
33,Male,1,Business Analyst,4,60000,Canada,Black,0
35,Female,1,Marketing Analyst,8,85000,China,Chinese,1
44,Male,1,Software Engineer,13,130000,Canada,White,1
32,Male,1,Product Manager,4,65000,China,Chinese,0
38,Female,1,Business Analyst,10,110000,Australia,Asian,1
49,Male,3,Director of Operations,21,180000,USA,Asian,0
29,Female,1,Marketing Specialist,2,40000,Australia,Australian,0
35,Male,1,Business Development Manager,7,90000,USA,Hispanic,1
45,Female,2,HR Manager,14,140000,UK,Welsh,1
33,Male,1,Financial Analyst,4,60000,China,Korean,0
40,Female,1,Marketing Manager,12,130000,Australia,Asian,1
44,Male,3,Data Scientist,16,160000,Australia,Asian,1
30,Female,1,Operations Coordinator,2,40000,Australia,White,0
37,Male,1,Marketing Analyst,9,100000,UK,Mixed,1
48,Female,2,Director of HR,20,180000,USA,Hispanic,0
31,Male,1,Project Manager,3,55000,Canada,Black,0
38,Female,1,Operations Coordinator,9,120000,Canada,Asian,1
45,Male,3,Data Engineer,16,150000,Canada,Black,1
33,Female,1,Marketing Manager,5,70000,UK,Mixed,0
36,Male,1,Business Analyst,8,95000,China,Chinese,1
49,Female,2,Director of Marketing,21,180000,China,White,0
31,Male,1,Operations Analyst,3,50000,Canada,Black,0
42,Female,1,Project Manager,12,120000,Australia,White,1
47,Male,2,Director of Marketing,19,170000,UK,White,0
29,Female,1,Business Development Associate,1.5,35000,Australia,White,0
35,Male,1,Financial Manager,9,100000,Australia,Asian,1
44,Female,3,Product Designer,15,150000,Australia,Asian,1
33,Male,1,Business Analyst,4,60000,UK,White,0
35,Female,1,Marketing Analyst,8,85000,Canada,Black,1
44,Male,1,Software Engineer,13,130000,Australia,White,1
34,Female,2,Financial Advisor,6,80000,Canada,White,1
36,Male,1,Marketing Specialist,8,95000,Canada,White,1
30,Female,1,HR Coordinator,2,40000,UK,Welsh,0
37,Male,1,Business Development Manager,10,120000,China,Chinese,1
45,Female,2,Marketing Manager,16,160000,Canada,Black,1
32,Male,1,Financial Advisor,4,65000,USA,Hispanic,0
39,Female,1,Project Manager,12,130000,Canada,White,1
47,Male,3,Director of Engineering,20,180000,China,White,0
29,Female,1,Marketing Analyst,2,40000,Australia,Australian,0
36,Male,1,Operations Manager,9,100000,UK,Asian,1
43,Female,3,Data Scientist,15,150000,USA,African American,1
32,Male,1,Marketing Coordinator,3,55000,Canada,White,0
38,Female,1,Business Analyst,10,110000,China,White,1
48,Male,2,Director of Marketing,21,180000,China,Chinese,0
31,Female,1,Business Development Associate,3,50000,China,Korean,0
40,Male,1,Financial Analyst,12,130000,Australia,White,1
45,Female,3,UX Designer,16,160000,Australia,Asian,1
33,Male,1,Product Manager,4,60000,Canada,Asian,0
36,Female,1,Marketing Manager,8,95000,China,Korean,1
47,Male,2,Director of Operations,19,170000,China,Chinese,0
29,Female,1,Project Manager,2,40000,UK,Mixed,0
34,Male,1,Operations Coordinator,7,90000,UK,Asian,1
44,Female,3,Business Analyst,15,150000,UK,White,1
33,Male,1,Marketing Specialist,5,70000,UK,Welsh,0
35,Female,1,Financial Manager,8,90000,Australia,White,1
43,Male,2,Director of Marketing,18,170000,China,Korean,0
31,Female,1,Financial Analyst,3,50000,UK,Asian,0
41,Male,1,Product Manager,14,150000,Canada,White,1
44,Female,3,Data Engineer,16,160000,Canada,Asian,1
33,Male,1,Business Analyst,4,60000,Canada,Black,0
35,Female,1,Marketing Analyst,8,85000,Canada,Asian,1
45,Male,2,Director of Engineering,19,180000,China,Chinese,0
28,Female,1,Operations Manager,1,35000,Canada,Asian,0
36,Male,1,Business Development Manager,8,110000,USA,Asian,1
44,Female,3,Data Scientist,16,160000,China,Chinese,1
31,Male,1,Marketing Coordinator,3,55000,Canada,Black,0
38,Female,1,Business Analyst,10,110000,Canada,Black,1
48,Male,2,Director of Marketing,21,180000,Canada,Asian,0
31,Female,1,Business Development Associate,3,50000,Canada,Black,0
40,Male,1,Financial Analyst,12,130000,USA,White,1
45,Female,3,UX Designer,16,160000,UK,Asian,1
33,Male,1,Product Manager,4,60000,Canada,White,0
36,Female,1,Marketing Manager,8,95000,UK,Welsh,1
47,Male,2,Director of Operations,19,170000,UK,Welsh,0
29,Female,1,Project Manager,2,40000,Australia,Australian,0
34,Male,1,Operations Coordinator,7,90000,China,Chinese,1
44,Female,3,Business Analyst,15,150000,UK,Welsh,1
33,Male,1,Marketing Specialist,5,70000,Canada,White,0
35,Female,1,Financial Manager,8,90000,China,Chinese,1
43,Male,2,Director of Marketing,18,170000,Canada,Asian,0
31,Female,1,Financial Analyst,3,50000,Canada,Black,0
41,Male,1,Product Manager,14,150000,China,Chinese,1
44,Female,3,Data Engineer,16,160000,Australia,White,1
33,Male,1,Business Analyst,4,60000,UK,Welsh,0
35,Female,1,Marketing Analyst,8,85000,China,White,1
43,Male,2,Director of Operations,19,170000,China,White,0
29,Female,1,Project Manager,2,40000,USA,Asian,0
34,Male,1,Operations Coordinator,7,90000,China,White,1
44,Female,3,Business Analyst,15,150000,UK,White,1
31,Male,2,Data Scientist,6,160000,Australia,White,0
28,Female,1,Software Engineer,3,125000,Canada,Black,0
26,Male,2,Product Manager,2,120000,China,White,0
27,Female,1,Data Analyst,2,110000,UK,Mixed,0
30,Male,3,Data Scientist,5,180000,China,Korean,0
29,Female,1,Software Engineer,4,140000,Australia,White,0
32,Male,1,Product Manager,7,170000,USA,Asian,0
25,Female,2,Data Analyst,1,100000,China,White,0
33,Male,3,Data Scientist,8,190000,UK,Mixed,0
31,Female,1,Software Engineer,6,155000,UK,Welsh,0
28,Male,2,Product Manager,3,130000,Canada,Black,0
30,Female,1,Data Analyst,5,145000,USA,African American,0
27,Male,3,Data Scientist,2,115000,USA,African American,0
29,Female,1,Software Engineer,4,140000,USA,Hispanic,0
34,Male,1,Product Manager,9,185000,China,Chinese,0
25,Female,2,Data Analyst,1,100000,Australia,Australian,0
33,Male,3,Data Scientist,8,190000,Canada,Black,0
31,Female,1,Software Engineer,6,155000,UK,Welsh,0
28,Male,2,Product Manager,3,130000,Australia,White,0
30,Female,1,Data Analyst,5,145000,Australia,White,0
28,Male,1,Software Engineer,3,125000,China,Korean,0
26,Female,2,Product Manager,2,120000,USA,White,0
27,Male,1,Data Analyst,2,110000,USA,African American,0
30,Female,3,Data Scientist,5,180000,China,Korean,0
29,Male,1,Software Engineer,4,140000,USA,Hispanic,0
32,Male,1,Product Manager,7,170000,China,Chinese,0
25,Female,2,Data Analyst,1,100000,Australia,Asian,0
33,Male,3,Data Scientist,8,190000,Canada,Asian,0
31,Female,1,Software Engineer,6,155000,Australia,Australian,0
28,Male,2,Product Manager,3,130000,Canada,Asian,0
30,Female,1,Data Analyst,5,145000,Canada,Asian,0
27,Male,3,Data Scientist,2,115000,UK,Asian,0
29,Female,1,Software Engineer,4,140000,Australia,White,0
34,Male,1,Product Manager,9,185000,Canada,White,0
25,Female,2,Data Analyst,1,100000,China,White,0
33,Male,3,Data Scientist,8,190000,UK,White,0
31,Female,1,Software Engineer,6,155000,Australia,Australian,0
28,Male,2,Product Manager,3,130000,Canada,Asian,0
30,Female,1,Data Analyst,5,145000,Canada,White,0
28,Male,1,Software Engineer,3,125000,Australia,Asian,0
26,Female,2,Product Manager,2,120000,USA,White,0
27,Male,1,Data Analyst,2,110000,Australia,White,0
30,Female,3,Data Scientist,5,180000,Canada,Black,0
29,Male,1,Software Engineer,4,140000,Australia,Asian,0
32,Male,1,Product Manager,7,170000,USA,African American,0
25,Female,2,Data Analyst,1,100000,Canada,Black,0
33,Male,3,Data Scientist,8,190000,Australia,Australian,0
31,Female,1,Software Engineer,6,155000,China,Chinese,0
28,Male,2,Product Manager,3,130000,UK,Mixed,0
30,Female,1,Data Analyst,5,145000,China,White,0
27,Male,3,Data Scientist,2,115000,Australia,Australian,0
29,Female,1,Software Engineer,4,140000,China,Korean,0
34,Male,1,Product Manager,9,185000,China,Korean,0
25,Female,2,Data Analyst,1,100000,China,Chinese,0
33,Male,3,Data Scientist,8,190000,USA,Asian,0
31,Female,1,Software Engineer,6,155000,Australia,Asian,0
28,Male,2,Product Manager,3,130000,Australia,Australian,0
30,Female,1,Data Analyst,5,145000,Australia,Australian,0
28,Male,1,Software Engineer,3,125000,Canada,Black,0
26,Female,2,Product Manager,2,120000,UK,Asian,0
27,Male,1,Data Analyst,2,110000,China,White,0
30,Female,3,Data Scientist,5,180000,USA,African American,0
29,Male,1,Software Engineer,4,140000,Canada,Asian,0
32,Male,1,Product Manager,7,170000,China,Korean,0
25,Female,2,Data Analyst,1,100000,Australia,Asian,0
33,Male,3,Data Scientist,8,190000,USA,Asian,0
31,Female,1,Software Engineer,6,155000,China,Chinese,0
28,Male,2,Product Manager,3,130000,USA,Hispanic,0
30,Female,1,Data Analyst,5,145000,USA,White,0
27,Male,3,Data Scientist,2,115000,China,Korean,0
29,Female,1,Software Engineer,4,140000,USA,African American,0
34,Male,1,Product Manager,9,185000,China,Chinese,0
25,Female,2,Data Analyst,1,100000,UK,Mixed,0
33,Male,3,Data Scientist,8,190000,UK,Welsh,0
31,Female,1,Software Engineer,6,155000,Australia,Asian,0
28,Male,2,Product Manager,3,130000,USA,Asian,0
30,Female,1,Data Analyst,5,145000,Australia,White,0
27,Male,3,Data Scientist,2,115000,China,Korean,0
29,Female,1,Software Engineer,4,140000,USA,Hispanic,0
34,Male,1,Product Manager,9,185000,UK,Mixed,0
25,Female,2,Data Analyst,1,100000,Australia,Australian,0
33,Male,3,Data Scientist,8,190000,China,Chinese,0
31,Female,1,Software Engineer,6,155000,USA,Hispanic,0
28,Male,2,Product Manager,3,130000,Canada,Asian,0
30,Female,1,Data Analyst,5,145000,Australia,Asian,0
28,Male,1,Software Engineer,3,125000,Australia,Asian,0
26,Female,2,Product Manager,2,120000,Australia,Australian,0
27,Male,1,Data Analyst,2,110000,Australia,Asian,0
30,Female,3,Data Scientist,5,180000,USA,Asian,0
29,Male,1,Software Engineer,4,140000,USA,Hispanic,0
32,Male,1,Product Manager,7,170000,Canada,White,0
25,Female,2,Data Analyst,1,100000,UK,Welsh,0
33,Male,3,Data Scientist,8,190000,China,Korean,0
31,Female,1,Software Engineer,6,155000,USA,Asian,0
28,Male,2,Product Manager,3,130000,UK,Mixed,0
30,Female,1,Data Analyst,5,145000,Australia,White,0
27,Male,3,Data Scientist,2,115000,Australia,Asian,0
29,Female,1,Software Engineer,4,140000,China,Korean,0
34,Male,1,Product Manager,9,185000,China,Korean,0
25,Female,2,Data Analyst,1,100000,Canada,Asian,0
33,Male,3,Data Scientist,8,190000,UK,Mixed,0
31,Female,1,Software Engineer,6,155000,UK,Welsh,0
28,Male,2,Product Manager,3,130000,UK,Asian,0
30,Female,1,Data Analyst,5,145000,China,Chinese,0
27,Male,3,Data Scientist,2,115000,UK,Welsh,0
29,Female,1,Software Engineer,4,140000,China,Chinese,0
34,Male,1,Product Manager,9,185000,China,White,0
25,Female,2,Data Analyst,1,100000,UK,White,0
33,Male,3,Data Scientist,8,190000,UK,Mixed,0
31,Female,1,Software Engineer,6,155000,China,Chinese,0
28,Male,2,Product Manager,3,130000,Canada,White,0
30,Female,1,Data Analyst,5,145000,USA,White,0
27,Male,3,Data Scientist,2,115000,UK,Mixed,0
29,Female,1,Software Engineer,4,140000,USA,White,0
34,Male,1,Product Manager,9,185000,Australia,Asian,0
25,Female,2,Data Analyst,1,100000,Australia,Asian,0
33,Male,3,Data Scientist,8,190000,Canada,Asian,0
31,Female,1,Software Engineer,6,155000,Australia,Australian,0
28,Male,2,Product Manager,3,130000,Canada,Asian,0
30,Female,1,Data Analyst,5,145000,China,Chinese,0
